Age,M,F
0-4,268480,253220
5-9,276655,261130
10-14,318009,302452
15-19,293722,281597
20-24,233477,228033
25-29,221781,218029
30-34,239502,236477
35-39,275396,271060
40-44,266053,261281
45-49,270897,266400
50-54,258978,259757
55-59,224679,233867
60-64,188621,203324
65-69,149951,170927
70-74,114942,135996
75-79,76354,92238
80-84,42328,52317
85-89,15324,20141
90-94,3241,4951
95-99,432,785
100+,24,53
