Age,M,F
0-4,2362378,2243207
5-9,1731568,1654199
10-14,1488453,1340252
15-19,1392491,1272209
20-24,1355828,1175015
25-29,868954,967008
30-34,645058,826083
35-39,669279,724132
40-44,571374,586206
45-49,503161,515138
50-54,455698,436859
55-59,298961,329331
60-64,249385,302254
65-69,169551,241700
70-74,107305,173028
75-79,42534,75650
80-84,11816,24578
85-89,1704,3599
90-94,507,801
95-99,114,99
100+,31,19
