Age,M,F
0-4,2140036,2033064
5-9,1959592,1865319
10-14,2188510,2087083
15-19,1825610,1799953
20-24,1658306,1662875
25-29,1642061,1624893
30-34,1707184,1707809
35-39,1870060,1891127
40-44,1658313,1716423
45-49,1802529,1892080
50-54,1761834,1854231
55-59,1579800,1722830
60-64,1208444,1522739
65-69,920100,1297433
70-74,676969,1052439
75-79,442049,754128
80-84,236576,446679
85-89,83165,180244
90-94,15779,45594
95-99,1603,6923
100+,84,535
