Age,M,F
0-4,187930,178391
5-9,190007,180651
10-14,213289,203655
15-19,194567,186312
20-24,153896,149697
25-29,139167,139796
30-34,141996,144594
35-39,153591,158164
40-44,148494,151394
45-49,151528,154610
50-54,143689,148520
55-59,124670,133447
60-64,105821,118023
65-69,83930,95712
70-74,63459,74241
75-79,43099,50915
80-84,23464,27445
85-89,8378,10358
90-94,1746,2528
95-99,203,307
100+,11,20
