Age,M,F
0-4,1062733,1005264
5-9,1227328,1160645
10-14,1402208,1323106
15-19,1470662,1384622
20-24,1520070,1402357
25-29,1561592,1438384
30-34,1642757,1576820
35-39,1686485,1660975
40-44,1857515,1852236
45-49,2201241,2221798
50-54,2355735,2409334
55-59,2364241,2455115
60-64,2041653,2185911
65-69,1733590,1912112
70-74,1537518,1753972
75-79,1281472,1552547
80-84,953762,1306348
85-89,561194,919755
90-94,216148,470606
95-99,43050,136006
100+,3894,17989
