Age,M,F
0-4,736518,723441
5-9,559610,549711
10-14,508106,511902
15-19,458951,429037
20-24,404158,367069
25-29,352302,312770
30-34,310761,264462
35-39,261455,222243
40-44,218001,186227
45-49,179901,156028
50-54,145186,128905
55-59,119362,103314
60-64,90189,78572
65-69,65210,54873
70-74,39543,33585
75-79,19171,16522
80-84,6535,5808
85-89,1391,1299
90-94,158,161
95-99,8,10
100+,0,0
