Age,M,F
0-4,3436626,3289542
5-9,3102348,2963288
10-14,2717825,2588084
15-19,2494906,2375796
20-24,2164674,2085397
25-29,1783332,1751762
30-34,1388305,1371305
35-39,1050978,1039380
40-44,842598,834710
45-49,693917,697620
50-54,539215,564335
55-59,394559,442791
60-64,279155,335695
65-69,192240,242762
70-74,122156,164042
75-79,73355,106307
80-84,32238,47708
85-89,9471,15919
90-94,1657,3334
95-99,130,365
100+,4,12
