Age,M,F
0-4,10039094,9704360
5-9,9458120,9114816
10-14,8127637,7848587
15-19,6419173,6386062
20-24,5344979,5486446
25-29,5680031,5338815
30-34,6255999,5880227
35-39,5876897,6186297
40-44,5516804,5759588
45-49,5254349,5482564
50-54,4630358,4771237
55-59,4020268,4223865
60-64,3380660,3738357
65-69,2799499,3198871
70-74,2158579,2535788
75-79,1342862,1676282
80-84,667626,959234
85-89,265543,423620
90-94,70197,126250
95-99,11305,23087
100+,1300,2933
