Age,M,F
0-4,766090,725112
5-9,1041376,990494
10-14,1180148,1114751
15-19,1180404,1103786
20-24,1511085,1391473
25-29,1886808,1673333
30-34,1862880,1636647
35-39,1766028,1613978
40-44,2092489,1977297
45-49,2005541,1934106
50-54,2259415,2218510
55-59,2062252,2062554
60-64,2076755,2133662
65-69,1587634,1695760
70-74,1044342,1185755
75-79,721436,914624
80-84,505441,797367
85-89,218876,484338
90-94,60817,221772
95-99,9164,60034
100+,766,8947
