Age,M,F
0-4,162471,153781
5-9,156926,148667
10-14,164490,156275
15-19,177241,169172
20-24,186571,178763
25-29,206797,198982
30-34,202441,194318
35-39,176629,170210
40-44,170255,168247
45-49,187938,188188
50-54,194792,194501
55-59,209544,207963
60-64,179308,181747
65-69,159054,166290
70-74,142848,155299
75-79,134994,152418
80-84,77623,97169
85-89,36831,55105
90-94,11809,24260
95-99,2259,7414
100+,185,1126
