Age,M,F
0-4,799870,775809
5-9,637526,620257
10-14,500017,489307
15-19,402783,397681
20-24,334593,336816
25-29,289219,295836
30-34,251053,254434
35-39,213786,211424
40-44,178513,172262
45-49,146529,138450
50-54,118253,109316
55-59,90360,82903
60-64,63904,60153
65-69,42343,41472
70-74,26100,26809
75-79,14500,15522
80-84,6466,7381
85-89,1886,2245
90-94,404,502
95-99,91,102
100+,26,23
