Age,M,F
0-4,2926962,2774895
5-9,2625119,2511645
10-14,2330418,2215976
15-19,2699440,2583754
20-24,3201721,3003841
25-29,2548765,2404181
30-34,2433425,2533744
35-39,2028246,2799759
40-44,1388568,1951042
45-49,2106712,2910827
50-54,2359100,3035561
55-59,2325599,2763096
60-64,1777492,2400044
65-69,1279258,1954379
70-74,979425,1457716
75-79,652111,933427
80-84,344977,489070
85-89,116550,165213
90-94,17319,29960
95-99,1243,2922
100+,45,135
