Age,M,F
0-4,975006,926989
5-9,1021140,972261
10-14,1061127,1017819
15-19,1059385,1025776
20-24,1214341,1152851
25-29,1385657,1279913
30-34,1411991,1347603
35-39,1360100,1335038
40-44,1294643,1306344
45-49,1199459,1224582
50-54,1197389,1214867
55-59,1269095,1284973
60-64,1315088,1347753
65-69,1148769,1212832
70-74,916459,1000009
75-79,684336,775944
80-84,413770,510279
85-89,225629,323322
90-94,96054,176317
95-99,22838,60167
100+,2584,10781
