Age,M,F
0-4,50498580,47920315
5-9,49096884,46829753
10-14,36145323,33432080
15-19,28492059,25471658
20-24,27550807,24122343
25-29,25932084,23327941
30-34,22407798,20533620
35-39,19759683,18630935
40-44,17081862,16497774
45-49,15271532,14737326
50-54,12909974,13208805
55-59,10724846,11375459
60-64,7732748,8525574
65-69,5380578,6582603
70-74,3229643,4410789
75-79,1571773,2557647
80-84,557486,1046284
85-89,166261,334658
90-94,30039,73378
95-99,2309,8914
100+,29,531
