Age,M,F
0-4,299880,283719
5-9,322944,304310
10-14,328050,309711
15-19,320340,299679
20-24,317564,280237
25-29,339215,315187
30-34,404019,382811
35-39,363494,344034
40-44,334795,319132
45-49,330874,319244
50-54,335291,327134
55-59,345612,336612
60-64,291669,288842
65-69,269995,274216
70-74,254119,267147
75-79,240813,261827
80-84,146475,173218
85-89,72145,104597
90-94,26673,52598
95-99,5409,15768
100+,487,2187
