Age,M,F
0-4,1161003,1103851
5-9,1355198,1281781
10-14,1440052,1368891
15-19,1418038,1343978
20-24,1193759,1113525
25-29,976624,920994
30-34,937521,919232
35-39,919293,946370
40-44,894750,942672
45-49,842960,900576
50-54,769241,834245
55-59,691544,767076
60-64,582352,671057
65-69,444316,545915
70-74,294712,393229
75-79,192969,273301
80-84,101812,166009
85-89,33578,70686
90-94,5089,18078
95-99,113,2068
100+,2,28
