Age,M,F
0-4,2128647,2028450
5-9,2040420,1950807
10-14,2165473,2070657
15-19,1837022,1832847
20-24,1889030,1946157
25-29,1798515,1900727
30-34,1827271,1927518
35-39,1784040,1946422
40-44,1202570,1318752
45-49,1640875,1752120
50-54,1496737,1588932
55-59,1225516,1352096
60-64,965584,1190490
65-69,747598,992332
70-74,586189,788782
75-79,393314,521373
80-84,202948,270388
85-89,67346,98228
90-94,13645,22985
95-99,1506,3147
100+,57,183
