Age,M,F
0-4,783426,741898
5-9,824112,780234
10-14,832924,791069
15-19,802873,763117
20-24,831483,795286
25-29,970085,931310
30-34,998961,999717
35-39,960181,982428
40-44,881513,889882
45-49,806466,815579
50-54,819636,853583
55-59,745446,778601
60-64,733302,769332
65-69,637615,682374
70-74,553507,592934
75-79,444437,478866
80-84,273220,318653
85-89,149791,201577
90-94,62400,102743
95-99,16677,34608
100+,1857,5400
