Age,M,F
0-4,560319,533442
5-9,526975,504495
10-14,502287,478281
15-19,393468,374782
20-24,345733,324688
25-29,342387,313318
30-34,388767,354567
35-39,388451,368419
40-44,334530,326097
45-49,331570,316381
50-54,284658,263262
55-59,231648,224390
60-64,185369,206111
65-69,149970,183557
70-74,114933,143467
75-79,66535,92091
80-84,33438,53255
85-89,12287,21869
90-94,3070,6186
95-99,443,1038
100+,32,71
