Age,M,F
0-4,1991731,1888393
5-9,2060208,1954485
10-14,1931311,1825739
15-19,1965088,1840387
20-24,2273322,2065772
25-29,2537830,2306922
30-34,2788739,2603775
35-39,2780185,2654113
40-44,2655038,2612276
45-49,2420843,2405322
50-54,2858996,2842789
55-59,3402026,3391711
60-64,3103890,3186767
65-69,2461361,2666109
70-74,2015733,2335978
75-79,1424742,1749837
80-84,1400365,1935442
85-89,747464,1235821
90-94,236683,508862
95-99,49555,153442
100+,4264,21304
