Age,M,F
0-4,37628588,35366605
5-9,31060104,28866482
10-14,24572658,23209217
15-19,20698029,19744098
20-24,19132866,18431776
25-29,17320573,16433339
30-34,15659741,14248721
35-39,13782977,12402638
40-44,12016145,10902829
45-49,10206806,9452667
50-54,8695253,8126830
55-59,6731882,6159498
60-64,5317665,5108152
65-69,3324587,3181651
70-74,2309313,2409118
75-79,1005454,1041828
80-84,494585,522231
85-89,148995,170506
90-94,26771,36121
95-99,2464,4376
100+,119,312
