Age,M,F
0-4,1137563,1086813
5-9,1039067,995255
10-14,910834,871833
15-19,701793,678186
20-24,587455,590909
25-29,618785,596830
30-34,642724,629986
35-39,619538,628196
40-44,553805,550034
45-49,506893,486789
50-54,431992,407037
55-59,354638,337044
60-64,286394,284967
65-69,238223,242631
70-74,195116,202355
75-79,131087,135738
80-84,68850,80084
85-89,25929,33952
90-94,6591,10225
95-99,1006,1925
100+,96,175
